epoch,time(s),train_loss,test_loss,test_error(%)
001,00003,0.488228,0.00864,0.24
002,00003,0.509275,0.00878,0.25
003,00002,0.485693,0.00894,0.25
004,00002,0.459913,0.00940,0.26
005,00002,0.467682,0.00968,0.25
006,00002,0.425695,0.01000,0.25
007,00002,0.444898,0.01029,0.30
008,00002,0.415587,0.01078,0.31
009,00002,0.400267,0.01114,0.31
010,00002,0.398776,0.01151,0.31
011,00002,0.403152,0.01143,0.31
012,00002,0.375846,0.01188,0.31
013,00002,0.369910,0.01183,0.30
014,00002,0.380582,0.01216,0.30
015,00002,0.339243,0.01257,0.31
016,00002,0.337827,0.01273,0.31
017,00002,0.333736,0.01286,0.31
018,00002,0.321842,0.01302,0.31
019,00002,0.325472,0.01305,0.32
020,00002,0.323395,0.01281,0.32
021,00002,0.310317,0.01304,0.34
022,00002,0.310660,0.01312,0.36
023,00002,0.298093,0.01361,0.37
024,00002,0.297622,0.01343,0.37
025,00002,0.292835,0.01336,0.39
026,00002,0.288661,0.01355,0.39
027,00002,0.275944,0.01385,0.39
028,00002,0.282628,0.01370,0.39
029,00002,0.279223,0.01346,0.37
030,00002,0.279187,0.01352,0.35
031,00002,0.274653,0.01365,0.34
032,00002,0.271071,0.01363,0.35
033,00002,0.271266,0.01354,0.35
034,00002,0.266813,0.01366,0.36
035,00002,0.265665,0.01339,0.36
036,00002,0.259714,0.01336,0.36
037,00002,0.265120,0.01315,0.35
038,00002,0.270433,0.01304,0.35
039,00002,0.258622,0.01294,0.37
040,00002,0.262033,0.01285,0.36
041,00002,0.254123,0.01281,0.36
042,00002,0.251945,0.01291,0.39
043,00002,0.259967,0.01293,0.37
044,00002,0.248876,0.01315,0.37
045,00002,0.255140,0.01281,0.36
046,00002,0.264534,0.01289,0.37
047,00002,0.246354,0.01316,0.37
048,00002,0.254409,0.01321,0.37
049,00002,0.252961,0.01322,0.37
050,00002,0.247471,0.01308,0.39
051,00002,0.250882,0.01300,0.39
052,00002,0.257051,0.01312,0.39
053,00002,0.243704,0.01326,0.39
054,00002,0.239043,0.01333,0.39
055,00002,0.244153,0.01302,0.40
056,00002,0.241966,0.01328,0.40
057,00002,0.237449,0.01329,0.41
058,00002,0.236134,0.01348,0.41
059,00002,0.239197,0.01364,0.41
060,00002,0.239692,0.01362,0.41
061,00002,0.234694,0.01359,0.41
062,00002,0.235011,0.01354,0.41
063,00002,0.241494,0.01373,0.41
064,00002,0.234860,0.01378,0.42
065,00002,0.235317,0.01382,0.41
066,00002,0.236134,0.01401,0.41
067,00002,0.234367,0.01380,0.40
068,00002,0.232785,0.01394,0.40
069,00002,0.238299,0.01436,0.40
070,00002,0.239412,0.01415,0.41
071,00002,0.234009,0.01395,0.41
072,00002,0.231562,0.01394,0.41
073,00002,0.228819,0.01374,0.41
074,00002,0.229783,0.01368,0.40
075,00002,0.235284,0.01381,0.42
076,00002,0.230662,0.01384,0.42
077,00002,0.235502,0.01365,0.40
078,00002,0.226530,0.01363,0.41
079,00003,0.227085,0.01362,0.42
080,00002,0.231431,0.01368,0.42
081,00002,0.234942,0.01353,0.41
082,00002,0.226568,0.01342,0.41
083,00002,0.227573,0.01324,0.39
084,00002,0.228415,0.01318,0.41
085,00002,0.227080,0.01318,0.41
086,00002,0.224315,0.01304,0.41
087,00002,0.229386,0.01310,0.41
088,00003,0.226060,0.01344,0.40
089,00002,0.228667,0.01351,0.41
090,00002,0.224477,0.01369,0.41
091,00002,0.229279,0.01322,0.39
092,00002,0.223402,0.01327,0.39
093,00002,0.223835,0.01349,0.37
094,00002,0.224945,0.01360,0.37
095,00002,0.225447,0.01367,0.40
096,00002,0.223488,0.01340,0.39
097,00002,0.234657,0.01358,0.40
098,00002,0.223111,0.01369,0.39
099,00002,0.226341,0.01363,0.39
100,00002,0.224315,0.01349,0.39
