epoch,time(s),train_loss,test_loss,test_error(%)
001,00003,3.868552,0.00852,0.22
002,00002,3.805775,0.00859,0.24
003,00002,3.743333,0.00865,0.24
004,00002,3.751766,0.00898,0.25
005,00002,3.706250,0.00914,0.25
006,00002,3.521564,0.00926,0.26
007,00002,3.508975,0.00935,0.27
008,00002,3.336158,0.00967,0.27
009,00002,3.307080,0.00990,0.27
010,00002,3.240716,0.01019,0.26
011,00002,3.223230,0.01002,0.27
012,00002,2.983229,0.01042,0.27
013,00002,3.014978,0.01038,0.27
014,00002,2.927681,0.01063,0.27
015,00002,2.745063,0.01112,0.27
016,00002,2.660207,0.01139,0.26
017,00002,2.535509,0.01153,0.29
018,00002,2.390470,0.01170,0.29
019,00002,2.423941,0.01173,0.29
020,00002,2.316248,0.01159,0.29
021,00002,2.155465,0.01194,0.29
022,00003,2.004781,0.01204,0.29
023,00002,2.106148,0.01273,0.29
024,00003,1.940903,0.01270,0.29
025,00002,1.806833,0.01275,0.29
026,00002,1.799871,0.01291,0.29
027,00002,1.625874,0.01336,0.27
028,00002,1.574587,0.01316,0.27
029,00002,1.525158,0.01311,0.29
030,00002,1.388369,0.01323,0.27
031,00002,1.384073,0.01356,0.27
032,00002,1.343791,0.01357,0.27
033,00002,1.368314,0.01360,0.27
034,00002,1.179131,0.01387,0.27
035,00002,1.114098,0.01367,0.26
036,00002,0.985800,0.01390,0.26
037,00002,0.985279,0.01405,0.26
038,00002,0.941612,0.01406,0.26
039,00002,0.904427,0.01423,0.27
040,00002,0.838056,0.01440,0.27
041,00002,0.799771,0.01477,0.27
042,00002,0.735206,0.01543,0.29
043,00002,0.765315,0.01589,0.30
044,00002,0.657135,0.01643,0.30
045,00002,0.685025,0.01620,0.30
046,00002,0.640657,0.01631,0.30
047,00002,0.613030,0.01675,0.30
048,00002,0.731815,0.01705,0.29
049,00002,0.616564,0.01690,0.29
050,00002,0.512188,0.01688,0.29
051,00002,0.572935,0.01707,0.30
052,00002,0.565164,0.01742,0.29
053,00002,0.498566,0.01803,0.29
054,00002,0.367373,0.01826,0.26
055,00002,0.398427,0.01802,0.26
056,00002,0.413622,0.01864,0.25
057,00002,0.307585,0.01884,0.26
058,00002,0.298494,0.01927,0.26
059,00002,0.324107,0.01940,0.26
060,00002,0.423192,0.01939,0.25
061,00002,0.222371,0.01943,0.26
062,00002,0.247048,0.01952,0.27
063,00002,0.353795,0.02009,0.27
064,00002,0.203513,0.02012,0.26
065,00002,0.237526,0.02033,0.26
066,00002,0.329386,0.02073,0.27
067,00002,0.195649,0.02043,0.27
068,00002,0.235669,0.02085,0.27
069,00002,0.303087,0.02162,0.27
070,00002,0.407296,0.02134,0.27
071,00002,0.198589,0.02114,0.29
072,00002,0.129833,0.02132,0.29
073,00002,0.115611,0.02117,0.29
074,00002,0.162118,0.02176,0.29
075,00002,0.183421,0.02193,0.29
076,00002,0.181887,0.02210,0.30
077,00002,0.163364,0.02163,0.29
078,00002,0.076442,0.02165,0.29
079,00002,0.099515,0.02153,0.29
080,00002,0.189997,0.02172,0.30
081,00002,0.121803,0.02156,0.29
082,00002,0.131543,0.02164,0.29
083,00002,0.114033,0.02139,0.31
084,00002,0.109658,0.02109,0.32
085,00002,0.168580,0.02112,0.30
086,00002,0.143206,0.02106,0.30
087,00002,0.129950,0.02117,0.31
088,00002,0.138704,0.02179,0.31
089,00002,0.187747,0.02221,0.31
090,00002,0.091546,0.02219,0.31
091,00002,0.231093,0.02147,0.31
092,00002,0.047995,0.02157,0.31
093,00002,0.071821,0.02184,0.30
094,00002,0.058256,0.02193,0.30
095,00002,0.131327,0.02177,0.30
096,00002,0.082699,0.02145,0.30
097,00002,0.151719,0.02147,0.30
098,00002,0.081012,0.02149,0.30
099,00002,0.134850,0.02158,0.29
100,00002,0.116142,0.02159,0.30
